"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"309ade8ac1b99d885b4422a15f399086","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","uncultured","Unclassified"
"5ac51cf9cb33c54082687e86f7dfa7db","Bacteria","FW113","FW113","FW113","FW113","FW113","uncultured_organism"
"6e70069712b2e8b7b443b2ec65b9dc1a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured","uncultured_bacterium"
"ec46cde3bffff0fbcc68230ef77a83d3","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae","Hydrogenedensaceae","Candidatus_Hydrogenedentes"
"8d3c610ef57d004b6555493e36ab3195","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yanofskybacteria","Candidatus_Yanofskybacteria","Candidatus_Yanofskybacteria","Unclassified"
"60c1e9d9c13fd0b3093597f52871af2f","Bacteria","Chloroflexi","Anaerolineae","Unclassified","Unclassified","Unclassified","Unclassified"
"cd0ac3465dc4882ad816922ed4c60f78","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophales","Omnitrophales","uncultured_bacterium"
"6577859fa36423dad330ee7900075d29","Bacteria","Chloroflexi","Dehalococcoidia","Unclassified","Unclassified","Unclassified","Unclassified"
"da1bd313eaa8637d788f5192cd36f44e","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","uncultured_Nitrospira"
"8c7168c010d301498898bf759ebc5fcc","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Jorgensenbacteria","Candidatus_Jorgensenbacteria","Candidatus_Jorgensenbacteria","Candidatus_Adlerbacteria"
"2c0afeb85f346492636be7d9ea9430ea","Bacteria","Cyanobacteria","Vampirivibrionia","Obscuribacterales","Obscuribacteraceae","Obscuribacteraceae","uncultured_bacterium"
"fa3f4bc817b6a0c292a95d5498b58cf5","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Azambacteria","Candidatus_Azambacteria","Candidatus_Azambacteria","Unclassified"
"a30a9e98ccf3e2c94c4cfb0a5fbb1ac8","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"52aa4b86e2df8c31e9f94d5f90dad16d","Bacteria","Methylomirabilota","Methylomirabilia","Rokubacteriales","Rokubacteriales","Rokubacteriales","Unclassified"
"b2be4240a42d573cf65a93216364e968","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"18c7bd7e63e43996b58cd2ff00303e6b","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_Verrucomicrobia"
"e3844ce7b9875f7be321758b96757f75","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella","Unclassified"
"3a349e059ec56fc025ea59f4ae4993db","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","uncultured_bacterium"
"e7e63e980bd459f00e5009c5fb7424a0","Bacteria","Bacteroidota","Kryptonia","Kryptoniales","BSV26","BSV26","uncultured_bacterium"
"bcef61aae699a3f3c14f5e50c28f1c72","Bacteria","Elusimicrobiota","Lineage_IIa","Lineage_IIa","Lineage_IIa","Lineage_IIa","uncultured_bacterium"
