"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"363","X13P20NHN1","X11P19NNN1",0.00168333333333333,0.341816666666667,0.0124166666666667,0.00215,0.641933333333333
"364","X13P23NNN1","X11P19NNN1",0.00238333333333333,0.2678,0.03255,0.0046,0.692666666666667
"365","X13P3NNN1","X11P19NNN1",0.00261666666666667,0.316733333333333,0.0187,0.00898333333333333,0.652966666666667
"366","X13P6NNN1","X11P19NNN1",0.00166666666666667,0.399033333333333,0.02275,0.00166666666666667,0.574883333333333
"367","X14P10NHN1","X11P19NNN1",0.00125,0.424366666666667,0.03435,0.000833333333333333,0.5392
"368","X14P16NHN1","X11P19NNN1",0.00243333333333333,0.392016666666667,0.0798333333333333,3e-04,0.525416666666667
"369","X14P19NNN1","X11P19NNN1",0.00281666666666667,0.384966666666667,0.00168333333333333,0.0140166666666667,0.596516666666667
"370","X14P1NHN1","X11P19NNN1",0.0066,0.348266666666667,0.0155,0.00443333333333333,0.6252
"371","X14P20NHN1","X11P19NNN1",0.00381666666666667,0.368333333333333,0.0204666666666667,3e-04,0.607083333333333
"372","X14P23NNN1","X11P19NNN1",0.00236666666666667,0.386016666666667,0.0266666666666667,0.0032,0.58175
"373","X14P3NNN1","X11P19NNN1",0.00323333333333333,0.3753,0.0608,6e-04,0.560066666666667
"374","X14P6NNN1","X11P19NNN1",0.00293333333333333,0.362333333333333,0.02595,0.000683333333333333,0.6081
"375","X11P20NHN1","X11P1NHN1",0.002,0.39355,6.66666666666667e-05,0.0121333333333333,0.59225
"376","X11P23NNN1","X11P1NHN1",0.0012,0.3359,0.00523333333333333,0.00205,0.655616666666667
"377","X11P3NNN1","X11P1NHN1",0.00421666666666667,0.3682,0.00025,0.000516666666666667,0.626816666666667
"378","X11P6NNN1","X11P1NHN1",0.00105,0.306433333333333,0.00518333333333333,0.00688333333333333,0.68045
"379","X12P10NHN1","X11P1NHN1",0.0015,0.370116666666667,0.00153333333333333,0.0195666666666667,0.607283333333333
"380","X12P16NHN1","X11P1NHN1",0.00095,0.40555,0.000116666666666667,0.0230666666666667,0.570316666666667
"381","X12P19NNN1","X11P1NHN1",0.00556666666666667,0.383866666666667,0.00271666666666667,0.0141666666666667,0.593683333333333
"382","X12P1NHN1","X11P1NHN1",0.0055,0.439,0.00651666666666667,0.00798333333333333,0.541
"383","X12P20NHN1","X11P1NHN1",0.00106666666666667,0.4402,0.0264833333333333,0.00108333333333333,0.531166666666667
"384","X12P23NNN1","X11P1NHN1",0.00173333333333333,0.3344,0.00521666666666667,0.0015,0.65715
"385","X12P3NNN1","X11P1NHN1",0.00516666666666667,0.3903,0.000383333333333333,0.00911666666666667,0.595033333333333
"386","X12P6NNN1","X11P1NHN1",0.0068,0.372516666666667,0.00918333333333333,0.00656666666666667,0.604933333333333
"387","X13P10NHN1","X11P1NHN1",0.00408333333333333,0.400116666666667,0.0156333333333333,0.00418333333333333,0.575983333333333
"388","X13P16NHN1","X11P1NHN1",0.00293333333333333,0.370683333333333,0.000966666666666667,0.00558333333333333,0.619833333333333
"389","X13P19NNN1","X11P1NHN1",0.00235,0.329466666666667,0.0292333333333333,0.0112666666666667,0.627683333333333
"390","X13P1NHN1","X11P1NHN1",0.0051,0.317816666666667,0.0323166666666667,0.00361666666666667,0.64115
"391","X13P20NHN1","X11P1NHN1",0.00265,0.356583333333333,0.000216666666666667,0.00468333333333333,0.635866666666667
"392","X13P23NNN1","X11P1NHN1",0.0016,0.274466666666667,0.0205,0.0245166666666667,0.678916666666667
"393","X13P3NNN1","X11P1NHN1",0.00165,0.300466666666667,0.0112333333333333,0.0208666666666667,0.665783333333333
"394","X13P6NNN1","X11P1NHN1",0.00213333333333333,0.394633333333333,0.000866666666666667,0.00298333333333333,0.599383333333333
